id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,4123,1,0,,,1,363,0,
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,15000,1,50,2021-08-23,0.41,10,344,1,
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,600,2,66,2021-11-21,0.50,2,364,10,
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41083,-99.18057,Private room,1237,2,53,2021-12-13,1.05,1,178,1,
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,1959,4,39,2019-02-24,0.32,2,332,0,
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35448,-99.16217,Entire home/apt,1606,4,106,2021-12-20,0.88,3,114,4,
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,3878,4,10,2019-10-05,0.15,3,315,0,
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35416,-99.16488,Private room,1403,1,0,,,3,82,0,
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Maria Jose,,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,4125,2,273,2021-09-25,2.15,6,294,6,
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39675,-99.17581,Private room,299,4,76,2021-11-28,0.80,2,357,5,
187745,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1856,2,24,2018-01-03,0.24,3,0,0,
204887,"Traditional neighborhood: Escandón, Condesa & Roma",998053,MaryJo,,Cuauhtémoc,19.4059,-99.17548,Entire home/apt,1200,3,27,2021-11-13,0.23,1,354,1,
217685,"Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40491,-99.17177,Entire home/apt,722,7,18,2021-12-13,0.22,1,140,10,
245507,TRENDY APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Francisco,,Cuauhtémoc,19.4236,-99.16979,Entire home/apt,1214,1,277,2021-12-04,2.23,2,348,5,
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43516,-99.13806,Private room,619,3,80,2020-02-24,0.66,3,318,0,
252618,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,,Cuauhtémoc,19.41472,-99.15602,Private room,350,5,16,2017-09-30,0.13,4,0,0,
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Maria Jose,,Miguel Hidalgo,19.40663,-99.18653,Entire home/apt,4125,2,285,2021-11-08,2.33,6,293,16,
271048,Great location in Mexico City!,1417206,Ma. Carmen,,Miguel Hidalgo,19.42485,-99.17797,Entire home/apt,1865,5,13,2018-02-01,0.11,1,300,0,
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38061,-99.12729,Entire home/apt,2063,7,0,,,1,365,0,
